competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,optionoffered_count_total,optionoffered_count,optionoffered_count_targeted,optionoffered_count_received,optionoffered_count_shotwithin10s,optionoffered_count_goalwithin10s,optionoffered_count_linebreak,optionoffered_count_dangerous,optionoffered_count_inspace,optionoffered_count_wide,optionoffered_count_insidedefensiveshape,optionoffered_count_outsidedefensiveshape,optionoffered_count_penaltyarea,optionoffered_count_penaltyarea_received,optionoffered_count_penaltyarea_shotwithin10s,optionoffered_count_penaltyarea_goalwithin10s
1396,Eliteserien (NO),13653,Santeri Väänänen,S. Väänänen,2002-01-01,64.25,17.27,17.88,8,8,0,696.0,87.0,24.88,23.12,0.88,0.0,10.5,5.75,15.88,25.75,58.62,28.38,2.25,0.0,0.0,0.0
1396,Eliteserien (NO),14031,Pontus Jacob Ragne Dahlberg,P. Dahlberg,1999-01-21,100.37,29.12,28.03,16,16,0,801.0,50.06,18.69,18.69,0.0,0.0,0.0,0.0,19.44,0.19,0.06,50.0,0.0,0.0,0.0,0.0
1396,Eliteserien (NO),14675,Henrik Rørvik Bjørdal,H. Bjørdal,1997-02-04,88.2,24.74,24.79,15,15,0,1822.0,121.47,39.2,30.93,3.87,0.4,39.8,23.0,20.27,46.13,79.13,42.33,11.4,2.0,0.73,0.0
1396,Eliteserien (NO),15157,Filip Manojlović,F. Manojlović,1996-04-25,97.18,29.34,29.9,1,1,0,74.0,74.0,19.0,19.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0
1396,Eliteserien (NO),16332,Noah Jean Holm,N. Holm,2001-05-23,84.57,26.6,19.5,16,16,0,1786.0,111.62,31.69,16.0,2.25,0.38,32.0,42.44,4.88,17.44,88.31,23.31,27.5,2.69,1.06,0.12
1396,Eliteserien (NO),16365,Bjørn Inge Utvik,B. Utvik,1996-02-28,101.25,25.52,32.49,16,16,0,1456.0,91.0,31.5,30.44,0.62,0.06,0.56,2.38,30.94,14.06,3.62,87.38,2.38,0.38,0.25,0.0
1396,Eliteserien (NO),16390,Lunan Ruben Gabrielsen,R. Gabrielsen,1992-03-10,100.34,29.14,27.7,14,14,0,1716.0,122.57,51.29,50.07,0.29,0.07,1.57,3.07,49.57,21.64,7.36,115.21,3.29,0.14,0.07,0.0
1396,Eliteserien (NO),16397,Petter  Dahle Strand,P. Strand,1994-08-24,40.09,11.19,11.69,16,16,0,776.0,48.5,14.0,11.62,0.75,0.06,11.44,8.56,9.69,23.0,18.88,29.62,4.44,0.56,0.25,0.0
1396,Eliteserien (NO),16400,Eirik Hestad,E. Hestad,1995-06-26,80.73,26.78,19.86,14,14,0,1976.0,141.14,36.14,28.93,3.43,0.36,41.71,31.36,20.29,49.29,98.86,42.29,17.93,2.43,0.71,0.14
1396,Eliteserien (NO),16406,Kristoffer  Haugen,K. Haugen,1994-02-21,84.39,23.18,22.91,14,14,0,1468.0,104.86,36.29,34.5,1.5,0.14,10.71,10.07,32.29,71.43,11.79,93.07,6.36,0.86,0.29,0.07
